station,Date,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
HUA,1/4/20 18:58,BKN,OVC,M,4200,5000,M,M
HUA,1/4/20 19:58,BKN,OVC,M,4300,5500,M,M
HUA,1/4/20 20:58,BKN,OVC,M,3700,4500,M,M
HUA,1/4/20 21:58,BKN,M,M,3900,M,M,M
HUA,1/4/20 22:58,BKN,M,M,4000,M,M,M
HUA,1/4/20 23:58,OVC,M,M,4000,M,M,M
HUA,1/5/20 0:58,OVC,M,M,3600,M,M,M
HUA,1/5/20 1:58,BKN,M,M,3700,M,M,M
HUA,1/5/20 2:58,CLR,M,M,M,M,M,M
HUA,1/5/20 3:58,CLR,M,M,M,M,M,M
HUA,1/5/20 4:58,CLR,M,M,M,M,M,M
HUA,1/5/20 5:58,CLR,M,M,M,M,M,M
HUA,1/5/20 6:58,CLR,M,M,M,M,M,M
HUA,1/5/20 7:58,CLR,M,M,M,M,M,M
HUA,1/5/20 8:58,CLR,M,M,M,M,M,M
HUA,1/5/20 9:58,CLR,M,M,M,M,M,M
HUA,1/5/20 10:58,CLR,M,M,M,M,M,M
HUA,1/5/20 11:58,CLR,M,M,M,M,M,M
HUA,1/5/20 12:58,CLR,M,M,M,M,M,M
HUA,1/5/20 13:58,CLR,M,M,M,M,M,M
HUA,1/5/20 14:58,CLR,M,M,M,M,M,M
HUA,1/5/20 15:58,CLR,M,M,M,M,M,M
HUA,1/5/20 16:58,CLR,M,M,M,M,M,M
HUA,1/5/20 17:58,CLR,M,M,M,M,M,M
HUA,1/5/20 18:58,CLR,M,M,M,M,M,M
HUA,1/5/20 19:58,CLR,M,M,M,M,M,M
HUA,1/5/20 20:58,CLR,M,M,M,M,M,M
HUA,1/5/20 21:58,CLR,M,M,M,M,M,M
HUA,1/5/20 22:58,CLR,M,M,M,M,M,M
HUA,1/5/20 23:58,CLR,M,M,M,M,M,M
HUA,1/6/20 0:58,CLR,M,M,M,M,M,M
HUA,1/6/20 1:58,CLR,M,M,M,M,M,M
HUA,1/6/20 2:58,CLR,M,M,M,M,M,M
HUA,1/6/20 3:58,CLR,M,M,M,M,M,M
HUA,1/6/20 4:58,CLR,M,M,M,M,M,M
HUA,1/6/20 5:58,CLR,M,M,M,M,M,M
HUA,1/6/20 6:58,CLR,M,M,M,M,M,M
HUA,1/6/20 7:58,CLR,M,M,M,M,M,M
HUA,1/6/20 8:58,CLR,M,M,M,M,M,M
HUA,1/6/20 9:58,CLR,M,M,M,M,M,M
HUA,1/6/20 10:58,CLR,M,M,M,M,M,M
HUA,1/6/20 11:58,CLR,M,M,M,M,M,M
HUA,1/6/20 12:58,CLR,M,M,M,M,M,M
HUA,1/6/20 13:58,CLR,M,M,M,M,M,M
HUA,1/6/20 14:58,CLR,M,M,M,M,M,M
HUA,1/6/20 15:58,CLR,M,M,M,M,M,M
HUA,1/6/20 16:58,CLR,M,M,M,M,M,M
HUA,1/6/20 17:58,CLR,M,M,M,M,M,M
HUA,1/6/20 20:58,CLR,M,M,M,M,M,M
HUA,1/6/20 21:58,CLR,M,M,M,M,M,M
HUA,1/6/20 22:58,BKN,M,M,8500,M,M,M
HUA,1/6/20 23:58,CLR,M,M,M,M,M,M
HUA,1/7/20 0:58,CLR,M,M,M,M,M,M
HUA,1/7/20 1:58,FEW,M,M,7500,M,M,M
HUA,1/7/20 2:58,BKN,OVC,M,5500,7500,M,M
HUA,1/7/20 3:58,SCT,BKN,M,5500,9500,M,M
HUA,1/7/20 4:58,SCT,OVC,M,5000,7000,M,M
HUA,1/7/20 5:58,SCT,SCT,SCT,300,700,1900,#NAME?
HUA,1/7/20 6:58,OVC,M,M,2900,M,M,M
HUA,1/7/20 7:08,OVC,M,M,3000,M,M,M
HUA,1/7/20 7:18,BKN,BKN,M,2800,3300,M,M
HUA,1/7/20 7:58,SCT,OVC,M,2700,4800,M,M
HUA,1/7/20 8:48,BKN,BKN,BKN,1900,5000,6000,M
HUA,1/7/20 8:58,BKN,OVC,M,1800,5500,M,M
HUA,1/7/20 9:28,FEW,SCT,OVC,1800,3100,11000,M
HUA,1/7/20 9:58,SCT,OVC,M,1700,3500,M,M
HUA,1/7/20 10:58,FEW,SCT,M,3800,10000,M,M
HUA,1/7/20 11:58,CLR,M,M,M,M,M,M
HUA,1/7/20 12:58,CLR,M,M,M,M,M,M
HUA,1/7/20 13:58,CLR,M,M,M,M,M,M
HUA,1/7/20 14:58,CLR,M,M,M,M,M,M
HUA,1/7/20 15:58,CLR,M,M,M,M,M,M
HUA,1/7/20 16:58,CLR,M,M,M,M,M,M
HUA,1/7/20 17:58,CLR,M,M,M,M,M,M
HUA,1/7/20 18:58,CLR,M,M,M,M,M,M
HUA,1/7/20 19:58,CLR,M,M,M,M,M,M
HUA,1/7/20 20:58,FEW,M,M,6000,M,M,M
HUA,1/7/20 21:58,CLR,M,M,M,M,M,M
HUA,1/7/20 22:58,CLR,M,M,M,M,M,M
HUA,1/7/20 23:58,CLR,M,M,M,M,M,M
HUA,1/8/20 0:58,CLR,M,M,M,M,M,M
HUA,1/8/20 1:58,CLR,M,M,M,M,M,M
HUA,1/8/20 2:58,CLR,M,M,M,M,M,M
HUA,1/8/20 3:58,CLR,M,M,M,M,M,M
HUA,1/8/20 4:58,CLR,M,M,M,M,M,M
HUA,1/8/20 5:58,CLR,M,M,M,M,M,M
HUA,1/8/20 6:58,CLR,M,M,M,M,M,M
HUA,1/8/20 7:58,CLR,M,M,M,M,M,M
HUA,1/8/20 8:58,CLR,M,M,M,M,M,M
HUA,1/8/20 9:58,CLR,M,M,M,M,M,M
HUA,1/8/20 10:58,CLR,M,M,M,M,M,M
HUA,1/8/20 11:58,CLR,M,M,M,M,M,M
HUA,1/8/20 12:58,CLR,M,M,M,M,M,M
HUA,1/8/20 13:58,CLR,M,M,M,M,M,M
HUA,1/8/20 14:58,CLR,M,M,M,M,M,M
HUA,1/8/20 15:58,CLR,M,M,M,M,M,M
HUA,1/8/20 16:58,CLR,M,M,M,M,M,M
HUA,1/8/20 17:58,CLR,M,M,M,M,M,M
HUA,1/8/20 18:58,CLR,M,M,M,M,M,M
HUA,1/8/20 19:58,CLR,M,M,M,M,M,M
HUA,1/8/20 20:58,CLR,M,M,M,M,M,M
HUA,1/8/20 21:58,CLR,M,M,M,M,M,M
HUA,1/8/20 22:58,CLR,M,M,M,M,M,M
HUA,1/8/20 23:58,CLR,M,M,M,M,M,M
HUA,1/9/20 0:58,CLR,M,M,M,M,M,M
HUA,1/9/20 1:58,CLR,M,M,M,M,M,M
HUA,1/9/20 2:58,CLR,M,M,M,M,M,M
HUA,1/9/20 3:58,CLR,M,M,M,M,M,M
HUA,1/9/20 4:58,CLR,M,M,M,M,M,M
HUA,1/9/20 5:58,CLR,M,M,M,M,M,M
HUA,1/9/20 6:58,CLR,M,M,M,M,M,M
HUA,1/9/20 7:58,CLR,M,M,M,M,M,M
HUA,1/9/20 8:58,CLR,M,M,M,M,M,M
HUA,1/9/20 9:58,CLR,M,M,M,M,M,M
HUA,1/9/20 10:58,CLR,M,M,M,M,M,M
HUA,1/9/20 11:58,CLR,M,M,M,M,M,M
HUA,1/9/20 12:58,CLR,M,M,M,M,M,M
HUA,1/9/20 13:58,CLR,M,M,M,M,M,M
HUA,1/9/20 14:58,SCT,M,M,26000,M,M,M
HUA,1/9/20 15:58,CLR,M,M,M,M,M,M
HUA,1/9/20 16:58,FEW,M,M,25000,M,M,M
HUA,1/9/20 19:58,FEW,M,M,23000,M,M,M
HUA,1/9/20 21:58,SCT,M,M,19000,M,M,M
HUA,1/9/20 22:58,BKN,BKN,M,19000,26000,M,M
HUA,1/9/20 23:58,BKN,M,M,17000,M,M,M
HUA,1/10/20 0:58,SCT,BKN,M,4700,19000,M,M
HUA,1/10/20 1:58,OVC,M,M,4900,M,M,M
HUA,1/10/20 2:58,FEW,BKN,M,5500,17000,M,M
HUA,1/10/20 3:58,BKN,OVC,M,5000,18000,M,M
HUA,1/10/20 4:58,OVC,M,M,6000,M,M,M
HUA,1/10/20 5:58,FEW,SCT,SCT,5500,21000,23000,M
HUA,1/10/20 6:58,BKN,OVC,M,6000,8500,M,M
HUA,1/10/20 7:58,BKN,OVC,M,6000,9000,M,M
HUA,1/10/20 8:58,OVC,M,M,6000,M,M,M
HUA,1/10/20 9:58,OVC,M,M,6000,M,M,M
HUA,1/10/20 10:58,BKN,OVC,M,6500,8500,M,M
HUA,1/10/20 11:58,OVC,M,M,5500,M,M,M
HUA,1/10/20 12:58,FEW,SCT,OVC,3200,4500,5500,M
HUA,1/10/20 13:58,FEW,SCT,SCT,3000,3600,4500,M
HUA,1/10/20 14:58,FEW,OVC,M,2800,5000,M,M
HUA,1/10/20 15:28,SCT,BKN,OVC,600,2600,4800,#NAME?
HUA,1/10/20 15:58,OVC,M,M,2300,M,M,M
HUA,1/10/20 16:38,SCT,BKN,OVC,2400,5500,7500,M
HUA,1/10/20 16:58,FEW,OVC,M,2700,5500,M,M
HUA,1/10/20 17:08,BKN,OVC,M,2600,5000,M,M
HUA,1/10/20 17:58,BKN,OVC,M,2700,8000,M,M
HUA,1/10/20 18:38,SCT,BKN,BKN,2700,5500,9000,M
HUA,1/10/20 18:58,SCT,SCT,BKN,2900,5500,9000,M
HUA,1/10/20 19:58,FEW,M,M,18000,M,M,M
HUA,1/10/20 20:58,FEW,M,M,14000,M,M,M
HUA,1/10/20 21:58,SCT,M,M,13000,M,M,M
HUA,1/10/20 22:58,FEW,BKN,BKN,5500,8000,10000,M
HUA,1/10/20 23:58,OVC,M,M,5500,M,M,M
HUA,1/11/20 1:58,FEW,BKN,OVC,8000,12000,14000,M
HUA,1/11/20 3:58,SCT,BKN,BKN,2500,3300,6000,M
HUA,1/11/20 4:58,FEW,OVC,M,1000,2700,M,M
HUA,1/11/20 5:58,FEW,OVC,M,700,2100,M,M
HUA,1/11/20 6:28,FEW,BKN,OVC,400,1000,1800,#NAME?
HUA,1/11/20 6:38,BKN,BKN,OVC,400,900,1700,#NAME?
HUA,1/11/20 6:58,OVC,M,M,400,M,M,#NAME?
HUA,1/11/20 7:28,OVC,M,M,500,M,M,M
HUA,1/11/20 7:38,OVC,M,M,600,M,M,#NAME?
HUA,1/11/20 7:48,BKN,OVC,M,300,800,M,#NAME?
HUA,1/11/20 7:58,BKN,OVC,M,300,1100,M,#NAME?
HUA,1/11/20 8:08,SCT,OVC,M,300,1100,M,#NAME?
HUA,1/11/20 8:58,OVC,M,M,1500,M,M,M
HUA,1/11/20 9:08,OVC,M,M,1400,M,M,M
HUA,1/11/20 9:18,OVC,M,M,1500,M,M,M
